fluxID,yearFlux,contDayInYearFlux,dayInYearFlux,PindexFLUXnee,PindexFLUXneeE,PindexFLUXneegf,PindexFLUXle,PindexFLUXleE,PindexFLUXlegf,PindexFLUXgpp,PindexFLUXgppgf,PindexFLUXre,PindexFLUXregf,metID,yearMet,dayInYearMet,hourInYear,temp,par,vpd,rh,soilT,co2,precip,bioID,yearBio,dayInYearBio,PindexBioLAI,PindexBioLAIe,PindexBioLitterF,PindexBioLitterFe,PindexBioPhenology,PindexBioPhenologyE,PindexBioCw,PindexBioCwE,PindexBioCwInc,PindexBioCwIncE,PindexBioSoilTotC,PindexBioSoilTotCe
0,1997,1.0208,1,-9999,-9999,0.97878,-9999,-7.3342,0.000065,-9999,-9999,-9999,-9999,0,1997,1,0.5,-11.7,0,0.0561,-9999,0.5,362.18,0,0,1997,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,1997,1.0417,1,-9999,-9999,0.97878,-9999,-7.3342,0.00007,-9999,-9999,-9999,-9999,1,1997,1,1,-12.2,0,0.0563,-9999,0.5,362.18,0,1,1997,3,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2,1997,1.0625,1,-9999,-9999,0.97878,-9999,-7.3342,0.000095,-9999,-9999,-9999,-9999,2,1997,1,1.5,-12.4,0,0.0565,-9999,0.5,362.18,0,2,1997,4,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3,1997,1.0833,1,-9999,-9999,0.97878,-9999,-7.3342,0.000095,-9999,-9999,-9999,-9999,3,1997,1,2,-12.4,0,0.0568,-9999,0.5,362.18,0,3,1997,5,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4,1997,1.1042,1,-9999,-9999,0.97878,-9999,-7.3342,0.0001,-9999,-9999,-9999,-9999,4,1997,1,2.5,-12.3,0,0.057,-9999,0.5,362.18,0,4,1997,6,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
5,1997,1.125,1,-9999,-9999,0.97878,-9999,-7.3342,0.000105,-9999,-9999,-9999,-9999,5,1997,1,3,-12.5,0,0.0573,-9999,0.5,362.18,0,5,1997,7,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
6,1997,1.1458,1,-9999,-9999,0.97878,-9999,-7.3342,0.000111,-9999,-9999,-9999,-9999,6,1997,1,3.5,-12.7,0,0.0575,-9999,0.5,362.18,0,6,1997,8,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,1997,1.1667,1,-9999,-9999,0.97878,-9999,-7.3342,0.000106,-9999,-9999,-9999,-9999,7,1997,1,4,-12.8,0,0.0577,-9999,0.5,362.18,0,7,1997,9,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,1997,1.1875,1,-9999,-9999,0.97878,-9999,-7.3342,0.000104,-9999,-9999,-9999,-9999,8,1997,1,4.5,-13.1,0,0.058,-9999,0.5,362.18,0,8,1997,10,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,1997,1.2083,1,-9999,-9999,0.97878,-9999,-7.3342,0.000103,-9999,-9999,-9999,-9999,9,1997,1,5,-13.3,0,0.0582,-9999,0.5,362.18,0,9,1997,11,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
